manip;HE;conc_mg_L;DO
manip 0517;M9;0,805;0,2705
manip 0517;M9;0,805;0,2585
manip 0517;M9;0,805;0,2595
manip 0517;M9;0,805;0,1925
manip 0517;M9;1,61;0,2375
manip 0517;M9;1,61;0,2315
manip 0517;M9;1,61;0,2505
manip 0517;M9;1,61;0,2305
manip 0517;M9;3,22;0,249
manip 0517;M9;3,22;0,179
manip 0517;M9;3,22;0,18
manip 0517;M9;3,22;0,213
manip 0517;M9;6,44;0,235
manip 0517;M9;6,44;0,203
manip 0517;M9;6,44;0,206
manip 0517;M9;6,44;0,17
manip 0517;M9;12,88;0,2345
manip 0517;M9;12,88;0,1495
manip 0517;M9;12,88;0,2295
manip 0517;M9;12,88;0,1615
manip 0517;M9;25,75;0,245
manip 0517;M9;25,75;0,257
manip 0517;M9;25,75;0,209
manip 0517;M9;25,75;0,132
manip 0517;M9;51,5;0,028
manip 0517;M9;51,5;0,028
manip 0517;M9;51,5;0,056
manip 0517;M9;51,5;0,021
manip 0517;M9;103;-0,0135
manip 0517;M9;103;-0,0155
manip 0517;M9;103;-0,0145
manip 0517;M9;103;
manip 0517;M9;206;-0,009
manip 0517;M9;206;-0,009
manip 0517;M9;206;-0,007
manip 0517;M9;206;-0,016
manip 0517;M9;412;-0,0185
manip 0517;M9;412;-0,0155
manip 0517;M9;412;-0,0135
manip 0517;M9;412;-0,0215
manip 0517;M10;0;0,2315
manip 0517;M10;0;0,2255
manip 0517;M10;0;0,2175
manip 0517;M10;0;0,2475
manip 0517;M10;0,4225;0,2285
manip 0517;M10;0,4225;0,2515
manip 0517;M10;0,4225;0,2475
manip 0517;M10;0,4225;0,2185
manip 0517;M10;0,845;0,22
manip 0517;M10;0,845;0,19
manip 0517;M10;0,845;0,227
manip 0517;M10;0,845;0,198
manip 0517;M10;1,69;0,223
manip 0517;M10;1,69;0,243
manip 0517;M10;1,69;0,218
manip 0517;M10;1,69;0,224
manip 0517;M10;3,38;0,231
manip 0517;M10;3,38;0,204
manip 0517;M10;3,38;0,202
manip 0517;M10;3,38;0,185
manip 0517;M10;6,75;0,1945
manip 0517;M10;6,75;0,1735
manip 0517;M10;6,75;0,1435
manip 0517;M10;6,75;0,1175
manip 0517;M10;13,5;0,1185
manip 0517;M10;13,5;0,1215
manip 0517;M10;13,5;0,0905
manip 0517;M10;13,5;0,0935
manip 0517;M10;27;0,0295
manip 0517;M10;27;0,0155
manip 0517;M10;27;0,0115
manip 0517;M10;27;0,0275
manip 0517;M10;54;0,0025
manip 0517;M10;54;0,0035
manip 0517;M10;54;0,0025
manip 0517;M10;54;0,0025
manip 0517;M10;108;0,0075
manip 0517;M10;108;0,0075
manip 0517;M10;108;0,0055
manip 0517;M10;108;0,0035
manip 0517;M10;216;0,002
manip 0517;M10;216;0,003
manip 0517;M10;216;0
manip 0517;M10;216;-0,003
manip 0517;M10;432;-0,006
manip 0517;M10;432;-0,015
manip 0517;M10;432;-0,01
manip 0517;M10;432;-0,022
manip 0517;M11;0;0,2625
manip 0517;M11;0;0,2785
manip 0517;M11;0;0,2705
manip 0517;M11;0;0,2465
manip 0517;M11;0,4025;0,229
manip 0517;M11;0,4025;0,263
manip 0517;M11;0,4025;0,229
manip 0517;M11;0,4025;0,221
manip 0517;M11;0,805;0,2425
manip 0517;M11;0,805;0,2295
manip 0517;M11;0,805;0,2245
manip 0517;M11;0,805;0,2135
manip 0517;M11;1,61;0,256
manip 0517;M11;1,61;0,257
manip 0517;M11;1,61;0,257
manip 0517;M11;1,61;0,219
manip 0517;M11;3,22;0,266
manip 0517;M11;3,22;0,212
manip 0517;M11;3,22;0,212
manip 0517;M11;3,22;0,204
manip 0517;M11;6,44;0,2095
manip 0517;M11;6,44;0,2445
manip 0517;M11;6,44;0,2185
manip 0517;M11;6,44;0,2115
manip 0517;M11;12,88;0,1635
manip 0517;M11;12,88;0,1975
manip 0517;M11;12,88;0,1555
manip 0517;M11;12,88;0,2385
manip 0517;M11;25,75;0,053
manip 0517;M11;25,75;0,09
manip 0517;M11;25,75;0,096
manip 0517;M11;25,75;0,11
manip 0517;M11;51,5;0,004
manip 0517;M11;51,5;0,008
manip 0517;M11;51,5;0,009
manip 0517;M11;51,5;0,006
manip 0517;M11;103;0,001
manip 0517;M11;103;0,001
manip 0517;M11;103;0,001
manip 0517;M11;103;0
manip 0517;M11;206;-0,011
manip 0517;M11;206;-0,009
manip 0517;M11;206;-0,009
manip 0517;M11;206;-0,011
manip 0517;M11;412;-0,019
manip 0517;M11;412;-0,019
manip 0517;M11;412;-0,015
manip 0517;M11;412;-0,022
manip 0517;Cu;0;0,3125
manip 0517;Cu;0;0,3195
manip 0517;Cu;0;0,3015
manip 0517;Cu;0;0,2955
manip 0517;Cu;1;0,245
manip 0517;Cu;1;0,242
manip 0517;Cu;1;0,25
manip 0517;Cu;1;0,239
manip 0517;Cu;2;0,2155
manip 0517;Cu;2;0,2175
manip 0517;Cu;2;0,2265
manip 0517;Cu;2;0,2155
manip 0517;Cu;4;0,273
manip 0517;Cu;4;0,232
manip 0517;Cu;4;0,243
manip 0517;Cu;4;0,222
manip 0517;Cu;8;0,258
manip 0517;Cu;8;0,198
manip 0517;Cu;8;0,245
manip 0517;Cu;8;0,215
manip 0517;Cu;16;0,2025
manip 0517;Cu;16;0,2055
manip 0517;Cu;16;0,1325
manip 0517;Cu;16;0,2395
manip 0517;Cu;31;0,2145
manip 0517;Cu;31;0,2505
manip 0517;Cu;31;0,1965
manip 0517;Cu;31;0,2495
manip 0517;Cu;63;0,2105
manip 0517;Cu;63;0,2575
manip 0517;Cu;63;0,2295
manip 0517;Cu;63;0,2485
manip 0517;Cu;125;0,194
manip 0517;Cu;125;0,178
manip 0517;Cu;125;0,213
manip 0517;Cu;125;0,142
manip 0517;Cu;250;0,011
manip 0517;Cu;250;0,009
manip 0517;Cu;250;0,007
manip 0517;Cu;250;0,017
manip 0517;Cu;500;0,008
manip 0517;Cu;500;0,009
manip 0517;Cu;500;0,01
manip 0517;Cu;500;0,01
manip 0517;Cu;1000;0,009
manip 0517;Cu;1000;0,008
manip 0517;Cu;1000;0,006
manip 0517;Cu;1000;0,006
